精选github,#genre#
CCTV-6,https://php.jdshipin.com/TVOD/iptv.php?id=cctv6$jd
CCTV-7,https://php.jdshipin.com/TVOD/iptv.php?id=cctv7$jd
CCTV-8,https://php.jdshipin.com/TVOD/iptv.php?id=cctv8$jd
CCTV-9,https://php.jdshipin.com/TVOD/iptv.php?id=cctv9$jd
CCTV-10,https://php.jdshipin.com/TVOD/iptv.php?id=cctv10$jd
CCTV-11,https://php.jdshipin.com/TVOD/iptv.php?id=cctv11$jd
CCTV-12,https://php.jdshipin.com/TVOD/iptv.php?id=cctv12$jd
CCTV-13,https://php.jdshipin.com/TVOD/iptv.php?id=cctv13$jd
CCTV-14,https://php.jdshipin.com/TVOD/iptv.php?id=cctv14$jd
CCTV-15,https://php.jdshipin.com/TVOD/iptv.php?id=cctv15$jd
CCTV-16,https://php.jdshipin.com/TVOD/iptv.php?id=cctv16$jd
CCTV-17,https://php.jdshipin.com/TVOD/iptv.php?id=cctv17$jd

CCTV-1,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001859$央视网
CCTV-2,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001800$央视网
CCTV-3,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001801$央视网
CCTV-4,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001814$央视网
CCTV-5,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001818$央视网
CCTV-5+,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001817$央视网
CCTV-6,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600108442$央视网
CCTV-7,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600004092$央视网
CCTV-8,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001803$央视网
CCTV-9,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600004078$央视网
CCTV-10,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001805$央视网
CCTV-11,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001806$央视网
CCTV-12,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001807$央视网
CCTV-13,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001811$央视网
CCTV-14,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001809$央视网
CCTV-15,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001815$央视网
CCTV-16,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600098637$央视网
CCTV-17,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001810$央视网
CCTV-4K,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002264$央视网
CCTV-8K,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600156816$央视网
CGTN,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600014550$央视网
CGTN记录,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600084781$央视网
CCTV风云剧场,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600099658$央视网
CCTV第一剧场,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600099655$央视网
CCTV怀旧剧场,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600099620$央视网

CCTV-1,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv1/$CCTV
CCTV-2,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv2/$CCTV
CCTV-3,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv3/$CCTV
CCTV-4,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv4/$CCTV
CCTV-5,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv5/$CCTV
CCTV-5+,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv5plus/$CCTV
CCTV-6,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv6/$CCTV
CCTV-7,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv7/$CCTV
CCTV-8,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv8/$CCTV
CCTV-9,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctvjilu/$CCTV
CCTV-10,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv10/$CCTV
CCTV-11,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv11/$CCTV
CCTV-12,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv12/$CCTV
CCTV-13,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv13/$CCTV
CCTV-14,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctvchild/$CCTV
CCTV-15,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv15/$CCTV
CCTV-16,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv16/$CCTV
CCTV-17,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv17/$CCTV
CCTV-4欧洲,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctveurope/$CCTV
CCTV-4美洲,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctvamerica/$CCTV


卫视,#genre#
CGTN记录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
卡酷少儿,http://103.72.172.253:8041/hls/385413834/index.m3u8
湖南卫视,http://103.72.172.253:8041/hls/573785178/index.m3u8
北京卫视,http://103.72.172.253:8041/hls/345649569/index.m3u8
东方卫视,http://103.72.172.253:8041/hls/488772575/index.m3u8
江苏卫视,http://103.72.172.253:8041/hls/492987178/index.m3u8
浙江卫视,http://103.72.172.253:8041/hls/436397645/index.m3u8
安徽卫视,http://103.72.172.253:8041/hls/423628357/index.m3u8
山东卫视,http://103.72.172.253:8041/hls/466797634/index.m3u8
东南卫视,http://103.72.172.253:8041/hls/484225138/index.m3u8
云南卫视,http://103.72.172.253:8041/hls/411289696/index.m3u8
广西卫视,http://103.72.172.253:8041/hls/434386277/index.m3u8
山西卫视,http://103.72.172.253:8041/hls/496247945/index.m3u8
北京卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002309$ku9
江苏卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002521$ku9
东方卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002483$ku9
浙江卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002520$ku9
湖南卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002475$ku9
湖北卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002508$ku9
广东卫视,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600002485$ku9

广东,#genre#
广东珠江,https://php.jdshipin.com/TVOD/iptv.php?id=gdzj$jd
广东珠江,http://r.jdshipin.com/sE5vO$rjd
广东珠江,http://183.237.95.108:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=0&authid=0
广东珠江,http://120.198.95.220:9901/tsfile/live/1007_1.m3u8?key=txiptv
广东民生,https://php.jdshipin.com/TVOD/iptv.php?id=gdms$jd
广东民生,http://183.237.95.108:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=0&authid=0
广州综合,http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8
广州综合,https://php.jdshipin.com/TVOD/iptv.php?id=zhonghe$jd
广州综合,http://r.jdshipin.com/snhya$rjd
广州综合,http://r.jdshipin.com/iR6Gq$rjd
广州新闻,http://tencentplaygzrb01.gztv.com/live/xinwen.m3u8
广州新闻,https://php.jdshipin.com/TVOD/iptv.php?id=xinwen$jd
广州南国都市,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8
广州南国都市,https://php.jdshipin.com/TVOD/iptv.php?id=shenghuo$jd
广州南国都市,http://r.jdshipin.com/nWaZO$rjd
广东体育,http://r.jdshipin.com/LiYdg$rjd

广东卫视,http://A/ku9/js/ku9js.js?id=https://www.gdtv.cn/tvChannelDetail/43
广东珠江,http://A/ku9/js/ku9js.js?id=https://www.gdtv.cn/tvChannelDetail/44
广东新闻,http://A/ku9/js/ku9js.js?id=https://www.gdtv.cn/tvChannelDetail/45
广东民生,http://A/ku9/js/ku9js.js?id=https://www.gdtv.cn/tvChannelDetail/48
大湾区卫视,http://A/ku9/js/ku9js.js?id=https://www.gdtv.cn/tvChannelDetail/51
广东影视,http://A/ku9/js/ku9js.js?id=https://www.gdtv.cn/tvChannelDetail/53
4K超高清,http://A/ku9/js/ku9js.js?id=https://www.gdtv.cn/tvChannelDetail/16
广东少儿,http://A/ku9/js/ku9js.js?id=https://www.gdtv.cn/tvChannelDetail/54
嘉佳卡通,http://A/ku9/js/ku9js.js?id=https://www.gdtv.cn/tvChannelDetail/66

时效,#genre#
TVBS新聞,http://iptv.4666888.xyz/iptv2A.php?id=43
TVBS新聞,http://iptv.4666888.xyz/iptv2A.php?id=43
民視,http://iptv.4666888.xyz/iptv2A.php?id=55
民視,http://iptv.4666888.xyz/iptv2A.php?id=55
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
中視,rtmp://f13h.mine.nu/sat/tv091
台視HD,rtmp://f13h.mine.nu/sat/tv071
新加坡中文,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
新加坡国际,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8

全球,#genre#
新加坡中文,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
新加坡国际,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
韩国EBS第一频道,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8?zshijd
韩国EBS第二频道,http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8?zshijd
韩国EBS_E频道,http://ebsonairios.ebs.co.kr/plus3tablet500k/tablet500k/plus3tablet500k.index.m3u8?zshijd
韩国EBS少儿童频道,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8?zshijd
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8?zshijd
美国红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8?zshijd
美国红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_928.m3u8?zshijd
